Gremio,Nombre,Dirección,Teléfono,Email,Persona de contacto,Web,Lat,Lon,ID,Fuente
aire acondicionado,"Intek ,Aplicaciones eléctricas y climatización S.L.","Poligono Industrial , Bapi grupo I, nave 9b, 12540 Villarreal, Castellón, España, 12540, Villarreal, Castellón, España",964 78 54 90,,,http://www.inteksl.es/,39.9307895,-0.1157085,gplace/None,Google
aire acondicionado,Tapicería AutoGio,"Cárter, Carrer del Santíssim Crist, 63, 12550 Almassora, Castelló, España, 12550, Almassora, Castelló, España",641 15 90 96,,,,39.94832,-0.06680939999999999,gplace/None,Google
aire acondicionado,Raysi - Montajes Hosteleros Y Aire Acondicionado,"Av. de Chatellerault, 2, BAJO, 12005 Castelló de la Plana, Castelló, España, 12005, Castelló de la Plana, Castelló, España",964 24 72 72,,,http://www.raysi.com/,39.9780586,-0.0401251,gplace/None,Google
aire acondicionado,"COELEC, ELECTRICIDAD, AIRE ACONDICIONADO Y PLACAS SOLARES.","Carrer de les Naus, 11, 12550 Almassora, Castelló, España, 12550, Almassora, Castelló, España",685 99 84 87,,,http://www.coelec.es/,39.9545478,-0.0752033,gplace/None,Google
aire acondicionado,"PLANASAT,SERVICIO TECNICO ELECTRODOMESTICOS, AIRE ACONDICIONADO","Carrer del Treball, 10, 12002 Castelló de la Plana, Castelló, España, 12002, Castelló de la Plana, Castelló, España",964 29 41 91,,,,39.98152959999999,-0.0428166,gplace/None,Google
aire acondicionado,Automecánica La Ribera 90 S L,"N-340, Km 91, 500, 12595 Venta de San Antonio-Estación, Castellón, España, 12595, Venta de San Antonio-Estación, Castellón, España",964 31 96 45,,,,40.1343241,0.1487398,gplace/None,Google
aire acondicionado,Aquassim Instalaciones.,"Carrer del Desert, 24, 12560 Benicàssim, Castelló, España, 12560, Benicàssim, Castelló, España",964 04 90 89,,,https://www.aquassim.com/,40.0541998,0.0586836,gplace/None,Google
aire acondicionado,"CPV Servicio Técnico. Electricidad, Fontanería, Carpintería, Aire Acondicionado y Reformas","Carrer de la Mare de Déu de la Paciència, 1, 12594 Orpesa, Castelló, España, 12594, Orpesa, Castelló, España",722 47 18 35,,,https://www.cpvserviciotecnico.com/,40.0899822,0.1361145,gplace/None,Google
aire acondicionado,Castellon Fujitsu LG Hiyasu,"C. Francesc Esteve Gálvez, 11, 12003 Castelló de la Plana, Castelló, España, 12003, Castelló de la Plana, Castelló, España",864 87 20 56,,,,39.989683,-0.0245144,gplace/None,Google
aire acondicionado,Energom,"Carrer de les Boqueres, Nº89, 1-c, 12550 Almassora, Castelló, España, 12550, Almassora, Castelló, España",665 51 11 20,,,,39.9513675,-0.0654281,gplace/None,Google
